Candidate - Website,# of entries,# of sites outside the host,# of Tracking sites,Tracking sites urls,# of POST requests,# of potential tracking pixels
Abdirizak Hadi - http://hadi4ward9.com/,45,2,1,fonts.googleapis.com&&,0,0
Abed Harb - http://voteharb.ca/,117,25,10,ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&fonts.googleapis.com&&googletagmanager.com&&youtube.com&&google-analytics.com&&facebook.com&&google.com&&gstatic.com&&nationbuilder.s3.amazonaws.com&&,1,0
Anand James Chetty - http://anandchetty.ca/,68,4,1,fonts.googleapis.com&&,1,0
Andre Chabot - http://andrechabot.ca/,16,3,1,fonts.googleapis.com&&,1,0
Andrea Hinton - http://hintonward14.com/,53,5,0,,7,0
Angela McIntyre - http://mcintyreward4.com/,71,22,8,fonts.googleapis.com&&polyfill.io&&d3n8a8pro7vhmx.cloudfront.net&&ajax.googleapis.com&&youtube.com&&facebook.com&&gstatic.com&&google.com&&,3,0
Anton Ovtchinnikov - http://justantonforward14.ca/,36,4,1,fonts.googleapis.com&&,0,0
Aryan Sadat - http://electsadat.com/,223,28,6,googletagmanager.com&&google-analytics.com&&youtube.com&&google.com&&gstatic.com&&fonts.googleapis.com&&,33,0
Benjamin Shepherd - http://benjaminshepherd.ca/,23,7,1,fonts.googleapis.com&&,1,0
Brent Trenholm - http://brenttrenholm.ca/,97,6,3,googletagmanager.com&&fonts.googleapis.com&&google-analytics.com&&,1,0
Bud Thurlow - http://budthurlow.com/,36,2,0,,0,0
Carla Evers - http://carla-evers.com/,2,0,0,,0,0
Chris Blatch - http://blatchward1.ca/,73,5,0,,6,0
Cornelia Wiebe - http://corneliawiebe.ca/,70,21,8,fonts.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&polyfill.io&&ajax.googleapis.com&&youtube.com&&google.com&&facebook.com&&gstatic.com&&,2,0
Courtney Walcott - http://courtneywalcott.com/,66,18,6,d3n8a8pro7vhmx.cloudfront.net&&googletagmanager.com&&youtube.com&&google-analytics.com&&google.com&&gstatic.com&&,1,0
Craig Chandler - http://electcraigchandler.ca/,34,11,5,youtube.com&&fonts.googleapis.com&&google.com&&gstatic.com&&unpkg.com&&,2,0
Dan McLean - http://danmclean.ca/,169,18,6,fonts.googleapis.com&&youtube.com&&paypalobjects.com&&cognitoforms.com&&google.com&&gstatic.com&&,2,0
Daniel James (DJ) Kelly - http://djkelly.ca/,65,13,3,fonts.googleapis.com&&gstatic.com&&ajax.googleapis.com&&,2,0
Daymond Khan - http://daymondkhan.ca/,72,6,1,fonts.googleapis.com&&,0,0
Derek Williams - http://ward7derek.ca/,42,13,4,d3n8a8pro7vhmx.cloudfront.net&&fonts.googleapis.com&&ajax.googleapis.com&&facebook.com&&,0,0
Devin DeFraine - http://devindefraine.ca/,52,12,3,fonts.googleapis.com&&ajax.googleapis.com&&facebook.com&&,3,0
Diane Marie Colley-Urquhart - http://votediane.ca/,131,16,5,fonts.googleapis.com&&google-analytics.com&&youtube.com&&google.com&&gstatic.com&&,4,0
Dirk Fontaine - http://dirkfontaine.ca/,42,3,0,,0,0
Duane Hall - http://voteforhallward6.ca/,24,5,0,,2,0
Erin Waite - http://www.erinwaite.ca/,57,15,5,fonts.googleapis.com&&polyfill.io&&d3n8a8pro7vhmx.cloudfront.net&&ajax.googleapis.com&&facebook.com&&,1,0
Esther Sutherland - http://estherforward10.ca/,32,3,0,,1,0
Evan Spencer - http://evanspencer.ca/,69,22,7,ajax.googleapis.com&&fonts.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&youtube.com&&facebook.com&&google.com&&gstatic.com&&,2,0
Francis Aranha - http://francisaranha.ca/,88,15,3,fonts.googleapis.com&&google.com&&youtube.com&&,6,0
Gary Bobrovitz - http://garybobrovitz.ca/,55,22,9,d3n8a8pro7vhmx.cloudfront.net&&ajax.googleapis.com&&fonts.googleapis.com&&googletagmanager.com&&google-analytics.com&&facebook.com&&googleadservices.com&&google.com&&google.ca&&,6,0
Gaz Qamar - http://electgaz.ca/,22,5,1,unpkg.com&&,2,0
Geoffrey Vanderburg - http://www.geoffreyvanderburg.com/,149,10,1,fonts.googleapis.com&&,27,0
Gian-Carlo Carra - http://carra4ward9.ca/,94,26,12,polyfill.io&&fonts.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&ajax.googleapis.com&&googletagmanager.com&&youtube.com&&googleadservices.com&&google-analytics.com&&facebook.com&&google.com&&gstatic.com&&google.ca&&,2,0
Greg Amoruso - http://gregamoruso.ca/,53,4,1,fonts.googleapis.com&&,1,0
Gurbir S. Nijjar - http://gurbirward3.ca/,107,14,6,googletagmanager.com&&fonts.googleapis.com&&googleadservices.com&&google.ca&&google.com&&facebook.com&&,3,0
Hamayun Akbar - http://hamayunakbar.ca/,41,2,0,,0,0
Heather McRae - http://heather4ward7.ca/,35,8,2,d3n8a8pro7vhmx.cloudfront.net&&ajax.googleapis.com&&,1,0
Ian McAnerin - http://mcanerin.ca/,144,22,10,ajax.googleapis.com&&fonts.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&googletagmanager.com&&facebook.com&&youtube.com&&google.com&&gstatic.com&&googleadservices.com&&google.ca&&,2,0
Jacob McGregor - http://jacobforward1.ca/,30,8,4,googletagmanager.com&&google-analytics.com&&google.com&&google.ca&&,2,0
Jasmine Mian - http://jasmine4ward3.ca/,73,22,8,ajax.googleapis.com&&fonts.googleapis.com&&polyfill.io&&d3n8a8pro7vhmx.cloudfront.net&&youtube.com&&google.com&&facebook.com&&gstatic.com&&,2,0
Jay Unsworth - http://unsworth.ca/,38,9,6,googletagmanager.com&&google-analytics.com&&google.com&&google.ca&&d3e54v103j8qbb.cloudfront.net&&facebook.com&&,2,0
Jennifer Wyness - http://jenniferwyness.com/,105,7,1,paypalobjects.com&&,9,0
Joe Magliocca - http://https//www.ward2.ca/,2,0,0,,0,0
John (Chubby Hubby) Duta - http://johnduta.ca/,88,9,4,google.com&&fonts.googleapis.com&&gstatic.com&&youtube.com&&,1,0
John-William Wade - http://johnwilliamwade.ca/,68,24,9,fonts.googleapis.com&&ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&googletagmanager.com&&youtube.com&&google-analytics.com&&facebook.com&&google.com&&google.ca&&,4,0
Jun Lin - http://www.junlin.ca/,75,5,0,,13,0
Kim (Dong) Tyers - http://kimtyers.com/,91,4,0,,5,0
Kimberly Feser - http://kimberlyfeser.ca/,37,4,0,,1,0
Kourtney Branagan - http://co11aborate.ca/,69,17,8,fonts.googleapis.com&&ajax.googleapis.com&&youtube.com&&googletagmanager.com&&gstatic.com&&google.com&&google-analytics.com&&weebly.com&&,5,0
Kumar Sharma - http://kumarsharma.ca/,81,8,2,fonts.googleapis.com&&youtube.com&&,0,0
Lana Bentley - http://lanabentley.ca/,24,5,1,fonts.googleapis.com&&,4,0
Larry Tweedale - http://larrytweedale.com/,33,8,2,ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&,0,0
Lauren Herschel - http://laurenherschel.ca/,68,19,7,ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&youtube.com&&nationbuilder.s3.amazonaws.com&&fonts.googleapis.com&&google.com&&gstatic.com&&,0,0
Leslyn Joseph - http://leslynjoseph4ward10.com/,44,5,0,,5,0
Lori Masse - http://lorimasseforward9.com/,96,7,0,,6,0
Marilyn North Peigan - http://marilynward7.ca/,87,12,3,fonts.googleapis.com&&googletagmanager.com&&google-analytics.com&&,6,0
Matt Lalonde - http://mattward7.ca/,48,12,4,ajax.googleapis.com&&fonts.googleapis.com&&polyfill.io&&d3n8a8pro7vhmx.cloudfront.net&&,1,0
Michael Streilein - http://https//michaelstreilein.ca/,2,0,0,,0,0
Mike Jamieson - http://votemikejamieson.ca/,36,2,0,,0,0
Mike LaValley - http://mikelavalley.ca/,164,19,4,googletagmanager.com&&google-analytics.com&&statcounter.com&&facebook.com&&,22,0
Monique Auffrey - http://votemonique.ca/,50,16,4,ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&fonts.googleapis.com&&facebook.com&&,3,0
Mushtaq Kayani - http://kayani.ca/,50,2,1,fonts.googleapis.com&&,0,0
Naomi Withers - http://ward9calgary.com/,56,15,4,ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&fonts.googleapis.com&&facebook.com&&,4,0
Natalie Winkler - http://winkler4ward8.ca/,8,3,1,fonts.googleapis.com&&,0,0
Nate Pike - http://natepike.ca/,4,2,1,google.com&&,0,0
Paul Bergmann - http://bergmann4ward8.ca/,52,14,5,d3n8a8pro7vhmx.cloudfront.net&&fonts.googleapis.com&&polyfill.io&&ajax.googleapis.com&&facebook.com&&,2,0
