Candidate - Website,# of entries,# of sites outside the host,# of Tracking sites,Tracking sites urls,# of POST requests,# of potential tracking pixels
Abdirizak Hadi - http://hadi4ward9.com/,47,2,1,fonts.googleapis.com&&,0,0
Abed Harb - http://voteharb.ca/,104,24,9,googletagmanager.com&&ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&fonts.googleapis.com&&youtube.com&&google-analytics.com&&google.com&&facebook.com&&nationbuilder.s3.amazonaws.com&&,4,0
Anand James Chetty - http://anandchetty.ca/,2,0,0,,0,0
Andre Chabot - http://andrechabot.ca/,19,3,1,fonts.googleapis.com&&,1,0
Andrea Hinton - http://hintonward14.com/,47,4,0,,5,0
Angela McIntyre - http://mcintyreward4.com/,68,21,7,ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&fonts.googleapis.com&&polyfill.io&&youtube.com&&facebook.com&&google.com&&,1,0
Anton Ovtchinnikov - http://justantonforward14.ca/,38,4,1,fonts.googleapis.com&&,0,0
Aryan Sadat - http://electsadat.com/,181,27,5,youtube.com&&googletagmanager.com&&google-analytics.com&&google.com&&fonts.googleapis.com&&,33,0
Benjamin Shepherd - http://benjaminshepherd.ca/,22,7,1,fonts.googleapis.com&&,1,0
Brent Trenholm - http://brenttrenholm.ca/,117,6,3,googletagmanager.com&&fonts.googleapis.com&&google-analytics.com&&,1,0
Bud Thurlow - http://budthurlow.com/,39,3,0,,0,0
Carla Evers - http://carla-evers.com/,2,0,0,,0,0
Chris Blatch - http://blatchward1.ca/,49,6,0,,4,0
Cornelia Wiebe - http://corneliawiebe.ca/,67,20,8,google-analytics.com&&ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&fonts.googleapis.com&&polyfill.io&&youtube.com&&facebook.com&&google.com&&,1,0
Courtney Walcott - http://courtneywalcott.com/,53,18,5,d3n8a8pro7vhmx.cloudfront.net&&googletagmanager.com&&youtube.com&&google-analytics.com&&google.com&&,1,0
Craig Chandler - http://electcraigchandler.ca/,32,9,4,youtube.com&&fonts.googleapis.com&&google.com&&unpkg.com&&,1,0
Dan McLean - http://danmclean.ca/,180,16,6,fonts.googleapis.com&&cognitoforms.com&&paypalobjects.com&&youtube.com&&google.com&&gstatic.com&&,2,0
