Candidate - Website,# of entries,# of sites outside the host,# of Tracking sites,Tracking sites urls,# of POST requests,# of potential tracking pixels
Adam Roberts - http://adamroberts.ca/,38,2,0,,0,0
Brad Field - http://votebradfield.ca/,25,6,1,google-analytics.com&&,2,0
Dean Hopkins - http://deanhopkinsyyc.ca/,232,15,7,fonts.googleapis.com&&googletagmanager.com&&google-analytics.com&&youtube.com&&google.com&&translate.googleapis.com&&gstatic.com&&,4,0
Emile Gabriel - http://emile4calgarymayor.com/,71,6,0,,4,0
Geoff Rainey - http://cleanslatecalgary.ca/,39,11,1,fonts.googleapis.com&&,0,0
Grace Yan - http://graceyanformayor.com/,77,17,6,fonts.googleapis.com&&polyfill.io&&d3n8a8pro7vhmx.cloudfront.net&&ajax.googleapis.com&&youtube.com&&google.com&&,0,0
page_1 - https://ianchiang.com/,34,1,0,,0,0
Ian Chiang - http://ianchiang.com/,32,2,0,,0,0
James Desautels - http://jamesdesautels.com/,35,2,1,fonts.googleapis.com&&,0,0
Jan Damery - http://jandamery.com/,59,21,8,d3n8a8pro7vhmx.cloudfront.net&&ajax.googleapis.com&&googletagmanager.com&&fonts.googleapis.com&&google-analytics.com&&youtube.com&&facebook.com&&google.com&&,2,0
Jeff Davison - http://jeffdavisonyyc.com/,96,30,10,ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&googletagmanager.com&&unpkg.com&&fonts.googleapis.com&&youtube.com&&google-analytics.com&&google.com&&facebook.com&&google.ca&&,5,0
Jeromy Farkas - http://jeromy.ca/,103,31,9,ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&fonts.googleapis.com&&polyfill.io&&youtube.com&&facebook.com&&juicer.io&&google.com&&google.ca&&,1,0
Jyoti Gondek - http://jyotigondek.ca/,48,12,4,fonts.googleapis.com&&googletagmanager.com&&facebook.com&&google-analytics.com&&,1,0
Kevin J. Johnston - http://calgarymayor.co/,185,8,1,google-analytics.com&&,18,0
Larry Heather - http://larryforcalgary.co/,6,2,1,statcounter.com&&,0,0
Mizanur Rahman - http://mizanurrahman.ca/,62,4,1,fonts.googleapis.com&&,0,0
Paul Michael Hallelujah - http://hallelujah.news/,23,6,2,ajax.googleapis.com&&fonts.googleapis.com&&,1,0
Randall Kaiser - http://youtube.com/channel/UCEy2Ie9q8jsBqTQ0BJHplbA,40,10,4,sentry.io&&fonts.googleapis.com&&google.com&&google.ca&&,4,0
Shaoli Wang - http://shaoliw.com/,25,2,2,google-analytics.com&&googletagmanager.com&&,1,0
Teddy Ogbonna - http://teddy4calgary.ca/,40,2,0,,0,0
Virginia Stone - http://virginia4mayor.com/,85,15,6,shop.app&&facebook.com&&gstatic.com&&paypal.com&&google-analytics.com&&google.com&&,13,0
Will Vizor - http://willvizorformayor.com/,45,4,3,fonts.googleapis.com&&youtube.com&&googletagmanager.com&&,0,0
page_1 - https://www.jeffdavisonyyc.com/,91,27,9,youtube.com&&ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&googletagmanager.com&&unpkg.com&&fonts.googleapis.com&&google-analytics.com&&google.com&&facebook.com&&,2,4
page_1 - https://www.jeffdavisonyyc.com/,90,27,9,youtube.com&&ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&googletagmanager.com&&unpkg.com&&fonts.googleapis.com&&google-analytics.com&&facebook.com&&google.com&&,1,4
Zac Hartley - http://zacformayor.com/,40,8,3,youtube.com&&google.com&&shop.app&&,5,0
page_1 - https://mayorelectkhan.ca/,59,9,1,fonts.googleapis.com&&,0,3
page_1 - https://www.zane4mayor.ca/,71,15,5,youtube.com&&fonts.googleapis.com&&google-analytics.com&&facebook.com&&google.com&&,18,1
Zane Novak - http://zane4mayor.ca/,73,17,5,fonts.googleapis.com&&youtube.com&&google.com&&google-analytics.com&&facebook.com&&,17,0
