domain, # candidates using this domain
shopifycdn.com,1
shopify.com,2
shopifysvc.com,2
shop.app,1
shopifycloud.com,1
twimg.com,1
gravatar.com,4
wordpress.com,4
paypal.com,1
editorx.com,1
wp.com,9
cloudflareinsights.com,1
statcounter.com,3
getnitropack.com,2
juicer.io,1
d3e54v103j8qbb.cloudfront.net,1
google.ca,6
vimeo.com,3
googleadservices.com,6
vimeocdn.com,3
editmysite.com,3
translate.googleapis.com,1
stripe.network,4
stripe.com,5
ajax.googleapis.com,12
addthis.com,1
moatads.com,1
paypalobjects.com,5
hscollectedforms.net,3
hubspot.com,3
hsforms.com,3
bootstrapcdn.com,5
addtoany.com,1
squarespace.com,10
jsdelivr.net,5
visitor-analytics.io,5
googlevideo.com,3
sitewit.com,1
wsimg.com,15
cloudflare.com,18
wix.com,24
parastorage.com,27
amazonaws.com,3
fontawesome.com,8
typekit.net,14
googletagmanager.com,30
twitter.com,31
facebook.com,34
facebook.net,42
embedly.com,13
d3n8a8pro7vhmx.cloudfront.net,29
youtube.com,37
doubleclick.net,39
google-analytics.com,47
google.com,64
gstatic.com,79
fonts.googleapis.com,98
