domain, # candidates using this domain
twimg.com,1
gravatar.com,1
wordpress.com,1
paypal.com,1
editorx.com,1
wp.com,4
statcounter.com,2
getnitropack.com,1
d3e54v103j8qbb.cloudfront.net,1
google.ca,4
vimeo.com,2
googleadservices.com,6
vimeocdn.com,2
editmysite.com,2
stripe.network,3
stripe.com,4
ajax.googleapis.com,7
addthis.com,1
moatads.com,1
paypalobjects.com,4
hscollectedforms.net,3
hubspot.com,3
hsforms.com,3
bootstrapcdn.com,5
addtoany.com,1
squarespace.com,4
jsdelivr.net,3
visitor-analytics.io,4
googlevideo.com,3
sitewit.com,1
wsimg.com,9
cloudflare.com,14
parastorage.com,15
wix.com,15
amazonaws.com,3
fontawesome.com,6
typekit.net,11
googletagmanager.com,23
twitter.com,25
facebook.com,26
facebook.net,32
embedly.com,10
d3n8a8pro7vhmx.cloudfront.net,23
youtube.com,24
doubleclick.net,26
google-analytics.com,34
google.com,41
gstatic.com,45
fonts.googleapis.com,59
