domain, # candidates using this domain
editorx.com,1
twimg.com,1
gravatar.com,1
wordpress.com,1
paypal.com,1
hubspot.com,1
hsforms.com,1
statcounter.com,2
getnitropack.com,1
google.ca,2
d3e54v103j8qbb.cloudfront.net,1
vimeo.com,3
vimeocdn.com,3
appcues.net,1
editmysite.com,2
stripe.network,3
stripe.com,4
ajax.googleapis.com,7
moatads.com,1
paypalobjects.com,4
hscollectedforms.net,3
bootstrapcdn.com,5
addtoany.com,1
squarespace.com,4
jsdelivr.net,3
wp.com,5
googlevideo.com,2
visitor-analytics.io,4
sitewit.com,1
wsimg.com,9
addthis.com,2
cloudflare.com,14
parastorage.com,15
wix.com,15
amazonaws.com,2
fontawesome.com,8
typekit.net,12
googletagmanager.com,23
facebook.com,23
twitter.com,25
facebook.net,32
embedly.com,10
d3n8a8pro7vhmx.cloudfront.net,23
youtube.com,24
google.com,36
doubleclick.net,25
google-analytics.com,36
gstatic.com,41
fonts.googleapis.com,59
