domain, # candidates using this domain
shopifycdn.com,1
shopify.com,2
shop.app,2
shopifysvc.com,2
shopifycloud.com,1
editorx.com,1
twimg.com,1
gravatar.com,4
wordpress.com,4
paypal.com,1
hubspot.com,1
hsforms.com,1
cloudflareinsights.com,1
statcounter.com,3
getnitropack.com,2
google.ca,4
juicer.io,1
d3e54v103j8qbb.cloudfront.net,1
vimeo.com,4
vimeocdn.com,4
appcues.net,1
editmysite.com,3
translate.googleapis.com,1
stripe.network,4
stripe.com,5
ajax.googleapis.com,12
moatads.com,1
paypalobjects.com,5
hscollectedforms.net,3
bootstrapcdn.com,5
addtoany.com,1
squarespace.com,10
jsdelivr.net,4
wp.com,10
googlevideo.com,3
visitor-analytics.io,4
sitewit.com,1
wsimg.com,15
addthis.com,2
cloudflare.com,17
wix.com,26
parastorage.com,27
amazonaws.com,2
fontawesome.com,10
typekit.net,15
googletagmanager.com,29
facebook.com,29
twitter.com,31
facebook.net,42
embedly.com,13
d3n8a8pro7vhmx.cloudfront.net,29
youtube.com,37
google.com,56
doubleclick.net,38
google-analytics.com,49
gstatic.com,71
fonts.googleapis.com,98
