Candidate - Website,# of entries,# of sites outside the host,# of Tracking entries,Tracking rules urls,# of POST requests,# of potential tracking pixels
Adam Roberts - http://adamroberts.ca/,38,2,7,img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js&&img1.wsimg.com/traffic-assets/js/tccl-tti.min.js&&img1.wsimg.com/blobby/go/static/radpack/@widget/MESSAGING/bs-Component-f9246098.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/common/constants/form/formIdentifiers-8d1eb835.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/common/constants/traffic2-f4096148.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/components/Recaptcha/badge-a479b038.js&&img6.wsimg.com/wrhs/ce554d2333f3801abafb32da18213ff7/tti.min.js&&,0,0
Brad Field - http://votebradfield.ca/,25,6,6,use.typekit.net/af/ab3e12/000000000000000077359d4f/30/l&&use.typekit.net/af/a798a9/000000000000000077359d55/30/l&&assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js&&p.typekit.net/p.gif&&www.google-analytics.com/analytics.js&&www.google-analytics.com/j/collect&&,2,1
Dean Hopkins - http://deanhopkinsyyc.ca/,232,15,32,www.googletagmanager.com/gtag/js&&apis.google.com/js/platform.js&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_dJE3gnD_g.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&www.google-analytics.com/g/collect&&translate.google.com/translate_a/element.js&&www.youtube.com/iframe_api&&www.youtube.com/embed/&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&googleads.g.doubleclick.net/pagead/id&&static.doubleclick.net/instream/ad_status.js&&www.google.com/&&www.youtube.com/generate_204&&connect.facebook.net/en_US/sdk.js&&www.youtube.com/youtubei/v1/log_event&&www.google-analytics.com/analytics.js&&www.google-analytics.com/j/collect&&www.gstatic.com/images/branding/product/1x/translate_24dp.png&&www.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_42x16dp.png&&www.gstatic.com/images/branding/product/2x/translate_24dp.png&&,4,0
Emile Gabriel - http://emile4calgarymayor.com/,71,6,17,static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js&&siteassets.parastorage.com/pages/pages/thunderbolt&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/0078f486-8e52-42c0-ad81-3c8d3d43f48e.woff2&&static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js&&frog.wix.com/bolt-performance&&frog.wix.com/bt&&static.parastorage.com/services/chat-worker/1.657.0/viewer-script.bundle.min.js&&static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/64017d81-9430-4cba-8219-8f5cc28b923e.woff2&&static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/tpaWorkerFeature.e6f852f3.chunk.min.js&&,4,0
Geoff Rainey - http://cleanslatecalgary.ca/,39,11,17,stats.wp.com/w.js&&0.gravatar.com/js/gprofiles.js&&s0.wp.com/_static/&&s0.wp.com/&&s0.wp.com/wp-content/themes/h4/global.css&&0.gravatar.com/dist/css/hovercard.min.css&&0.gravatar.com/dist/css/services.min.css&&pixel.wp.com/g.gif&&r-login.wordpress.com/remote-login.php&&public-api.wordpress.com/wp-admin/rest-proxy/&&s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css&&s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js&&,0,3
Grace Yan - http://graceyanformayor.com/,77,17,22,cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js&&cdnjs.cloudflare.com/ajax/libs/object-fit-images/3.2.4/ofi.min.js&&apis.google.com/js/plusone.js&&fonts.gstatic.com/s/lato/v20/S6uyw4BMUTPHjx4wXg.woff2&&fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_dJE3gnD_g.woff2&&www.youtube.com/embed/&&fonts.gstatic.com/s/montserrat/v18/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&googleads.g.doubleclick.net/pagead/id&&www.google.com/&&www.youtube.com/generate_204&&static.doubleclick.net/instream/ad_status.js&&platform.twitter.com/widgets.js&&connect.facebook.net/en_US/sdk.js&&cdn.embedly.com/widgets/media.html&&www.youtube.com/iframe_api&&,0,0
Ian Chiang - http://ianchiang.com/,32,2,0,,0,0
James Desautels - http://jamesdesautels.com/,35,2,0,,0,0
Jan Damery - http://jandamery.com/,59,21,30,www.googletagmanager.com/gtm.js&&cdn.jsdelivr.net/npm/js-cookie@rc/dist/js.cookie.min.js&&cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css&&apis.google.com/js/plusone.js&&cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/webfonts/fa-solid-900.woff2&&cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400.woff2&&connect.facebook.net/en_US/fbevents.js&&www.google-analytics.com/analytics.js&&www.google-analytics.com/j/collect&&cdn.embedly.com/widgets/media.html&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2&&fonts.gstatic.com/s/poppins/v15/pxiEyp8kv8JHgFVrJJfecg.woff2&&connect.facebook.net/en_US/sdk.js&&www.youtube.com/iframe_api&&www.youtube.com/embed/&&www.facebook.com/tr/&&www.facebook.com/x/oauth/status&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&www.google.com/&&platform.twitter.com/widgets.js&&www.youtube.com/generate_204&&static.doubleclick.net/instream/ad_status.js&&syndication.twitter.com/settings&&www.youtube.com/youtubei/v1/log_event&&googleads.g.doubleclick.net/pagead/id&&,2,4
Jeff Davison - http://jeffdavisonyyc.com/,96,30,41,www.googletagmanager.com/gtag/js&&p.typekit.net/p.css&&apis.google.com/js/plusone.js&&www.googletagmanager.com/gtm.js&&www.youtube.com/embed/&&use.typekit.net/af/2555e1/00000000000000007735e603/30/l&&use.typekit.net/af/efe4a5/00000000000000007735e609/30/l&&use.typekit.net/af/3322cc/00000000000000007735e616/30/l&&use.typekit.net/af/23e139/00000000000000007735e605/30/l&&ka-p.fontawesome.com/releases/v5.15.4/css/pro-v4-font-face.min.css&&ka-p.fontawesome.com/releases/v5.15.4/css/pro-v4-shims.min.css&&ka-p.fontawesome.com/releases/v5.15.4/css/pro.min.css&&platform.twitter.com/widgets.js&&connect.facebook.net/en_US/sdk.js&&connect.facebook.net/en_US/fbevents.js&&www.google-analytics.com/analytics.js&&ka-p.fontawesome.com/releases/v5.15.4/webfonts/pro-fa-solid-900-5.0.9.woff2&&ka-p.fontawesome.com/releases/v5.15.4/webfonts/pro-fa-solid-900-5.12.1.woff2&&ka-p.fontawesome.com/releases/v5.15.4/webfonts/pro-fa-brands-400-5.8.2.woff2&&www.google-analytics.com/j/collect&&ka-p.fontawesome.com/releases/v5.15.4/webfonts/pro-fa-brands-400-5.0.0.woff2&&ka-p.fontawesome.com/releases/v5.15.4/webfonts/pro-fa-brands-400-5.8.1.woff2&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&syndication.twitter.com/settings&&googleads.g.doubleclick.net/pagead/id&&www.google.com/&&www.youtube.com/generate_204&&static.doubleclick.net/instream/ad_status.js&&stats.g.doubleclick.net/j/collect&&www.google.com/ads/ga-audiences&&www.facebook.com/tr/&&www.facebook.com/x/oauth/status&&www.google.ca/ads/ga-audiences&&www.youtube.com/youtubei/v1/log_event&&,5,6
