Candidate - Website,# of entries,# of sites outside the host,# of Tracking sites,Tracking sites urls,# of POST requests,# of potential tracking pixels
Adam Dossa - http://takebackthecbe.org/,19,1,0,,0,0
Allan To - http://electallanto.com/,65,5,0,,4,0
Althea Adams - http://altheaadams.ca/,46,3,2,google.com&&gstatic.com&&,0,0
Baldev Kaur Tamber - http://baldevtambercalgary.ca/,47,2,0,,0,0
Barbara La Pointe - http://vote4barbara.ca/,45,2,0,,0,0
Carter Thomson - http://carterthomson.com/,21,6,2,fonts.googleapis.com&&gstatic.com&&,1,0
Charlene May - http://charlenemay2021.com/,40,5,0,,5,0
Cheryl Munson - http://cheryl4publictrustee.ca/,33,11,1,fonts.googleapis.com&&,0,0
Christa Harris - http://christaharris4trustee.com/,16,4,1,fonts.googleapis.com&&,0,0
Claudia Fuentes - http://takebackthecbe.ca/,24,5,2,fonts.googleapis.com&&unpkg.com&&,0,0
Dana Downey - http://danacares.ca/,39,5,0,,6,0
Dar Zuch - http://together.forastrongeralberta.ca/,26,8,2,youtube.com&&google.com&&,1,0
David Barrett - http://db4cbe.ca/,159,9,4,fonts.googleapis.com&&google.com&&gstatic.com&&youtube.com&&,6,0
Hilary Sellen - http://takebackthecbe.ca/,24,5,2,unpkg.com&&fonts.googleapis.com&&,0,0
Humaira Falak - http://humairafalak4trustee.com/,92,3,1,fonts.googleapis.com&&,0,0
Jay Chowdhury - http://ourstudentsourfuture.ca/,48,1,0,,0,0
Laura Hack - http://laurahack.ca/,28,2,1,fonts.googleapis.com&&,0,0
Malik Ashraf - http://malikashraf.com/,81,3,1,fonts.googleapis.com&&,0,0
Marilyn Dennis - http://marilyndennis.org/,20,3,1,fonts.googleapis.com&&,0,0
Maxx Lapthorne - http://cbetrusteemaxx.com/,121,8,1,fonts.googleapis.com&&,20,0
Melanie Wen - http://melaniewen.com/,35,3,2,google.com&&gstatic.com&&,1,0
Monica Truong - http://monicatruong.ca/,38,6,2,fonts.googleapis.com&&ajax.googleapis.com&&,2,0
Najeeb Butt - http://najeebbutt.com/,10,5,1,fonts.googleapis.com&&,0,0
Nancy Close - http://nancyclose.ca/,44,8,3,ajax.googleapis.com&&fonts.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&,0,0
Patricia Bolger - http://patriciabolger4trustee.com/,67,5,0,,9,0
Shirley Anderson - http://shirleyanderson4cbe.ca/,24,6,2,fonts.googleapis.com&&google-analytics.com&&,3,0
Stacey Selley - http://staceyselley.ca/,38,5,0,,4,0
Stephen John - http://stephenjohn4trustee.com/,17,2,1,wix.com&&,0,0
Susan Vukadinovic - http://susanvukadinovic.com/,65,6,1,paypalobjects.com&&,4,0
