Candidate - Website,# of entries,# of sites outside the host,# of Tracking sites,Tracking sites urls,# of POST requests,# of potential tracking pixels
Addie Corah - http://addiemosca-corah.ca/,87,10,1,fonts.googleapis.com&&,2,0
Blair Pedron Daniels - http://blairpedrondaniels.ca/,47,11,3,fonts.googleapis.com&&youtube.com&&google.com&&,10,0
Brian O'Neill - http://authenticcatholicism.com/,58,14,4,fonts.googleapis.com&&gstatic.com&&youtube.com&&google.com&&,1,0
Dan Penna - http://danpenna.ca/,34,9,3,youtube.com&&fonts.googleapis.com&&google.com&&,4,0
Edney Saldanha - http://edneysaldanha.ca/,26,2,1,fonts.googleapis.com&&,0,0
Edward Tse - http://www.edwardtse.com/,18,3,0,,0,0
Joe DeGagne - http://joedegagne.ca/,36,4,1,fonts.googleapis.com&&,0,0
John D. Ramsay - http://johndramsay.ca/,28,8,1,fonts.googleapis.com&&,1,0
Linda Wellman - http://lindawellman.com/,37,6,1,google-analytics.com&&,5,0
Lory Iovinelli (Acclaimed) - http://loryiovinelli4ccsdtrustee.ca/,21,8,2,vimeo.com&&fonts.googleapis.com&&,2,0
Myra D'Souza - http://myra4trustee.com/,66,6,0,,6,0
Oksana Shevchenko - http://oksana.nationbuilder.com/,58,8,3,ajax.googleapis.com&&d3n8a8pro7vhmx.cloudfront.net&&fonts.googleapis.com&&,0,0
Pamela Rath - http://pamelarath.com/,57,9,1,fonts.googleapis.com&&,0,0
Pina Lamb - http://pinalamb.com/,91,4,0,,6,0
Shannon Cook - http://shannoncook.ca/,35,2,0,,0,0
