Candidate - Website,# of entries,# of sites outside the host,# of Tracking entries,Tracking rules urls,# of POST requests,# of potential tracking pixels
Addie Corah - http://addiemosca-corah.ca/,87,10,5,apis.google.com/js/platform.js&&to.getnitropack.com/&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2&&pixel.wp.com/g.gif&&,2,1
Blair Pedron Daniels - http://blairpedrondaniels.ca/,47,11,11,assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2&&fonts.gstatic.com/s/poppins/v15/pxiEyp8kv8JHgFVrJJfecg.woff2&&www.youtube.com/embed/&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&www.google.com/&&www.youtube.com/generate_204&&googleads.g.doubleclick.net/pagead/id&&www.youtube.com/youtubei/v1/log_event&&static.doubleclick.net/instream/ad_status.js&&,10,0
Brian O'Neill - http://authenticcatholicism.com/,58,14,8,apis.google.com/js/client.js&&www.youtube.com/embed/&&fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&googleads.g.doubleclick.net/pagead/id&&www.google.com/&&static.doubleclick.net/instream/ad_status.js&&,1,0
Dan Penna - http://danpenna.ca/,34,9,11,www.youtube.com/embed/&&fonts.gstatic.com/s/montserrat/v18/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&googleads.g.doubleclick.net/pagead/id&&static.doubleclick.net/instream/ad_status.js&&www.google.com/&&www.youtube.com/youtubei/v1/player&&www.youtube.com/generate_204&&www.youtube.com/api/stats/qoe&&www.youtube.com/youtubei/v1/next&&,4,0
Edney Saldanha - http://edneysaldanha.ca/,26,2,2,fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&fonts.gstatic.com/s/lato/v20/S6uyw4BMUTPHjx4wXg.woff2&&,0,0
Edward Tse - http://www.edwardtse.com/,18,3,6,fonts.gstatic.com/s/montserrat/v18/JTUSjIg1_i6t8kCHKm459WlhyyTh89Y.woff2&&fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_ZpC3gnD_vx3rCs.woff2&&fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_bZF3gnD_vx3rCs.woff2&&fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_dJE3gnD_vx3rCs.woff2&&fonts.gstatic.com/s/montserrat/v18/JTUQjIg1_i6t8kCHKm459WxRyS7m0dR9pA.woff2&&fonts.gstatic.com/s/montserrat/v18/JTUPjIg1_i6t8kCHKm459WxZOg3z_PZwjimrqw.woff2&&,0,0
Joe DeGagne - http://joedegagne.ca/,36,4,6,img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js&&img1.wsimg.com/traffic-assets/js/tccl-tti.min.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/common/constants/form/formIdentifiers-8d1eb835.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/common/constants/traffic2-f4096148.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/components/Recaptcha/badge-a479b038.js&&img6.wsimg.com/wrhs/ce554d2333f3801abafb32da18213ff7/tti.min.js&&,0,1
John D. Ramsay - http://johndramsay.ca/,28,8,2,s0.wp.com/wp-content/js/bilmur.min.js&&pixel.wp.com/g.gif&&,1,1
Linda Wellman - http://lindawellman.com/,37,6,6,assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js&&use.typekit.net/af/63d81f/000000000000000077359d5a/30/l&&use.typekit.net/af/a798a9/000000000000000077359d55/30/l&&p.typekit.net/p.gif&&www.google-analytics.com/analytics.js&&www.google-analytics.com/j/collect&&,5,1
Lory Iovinelli (Acclaimed) - http://loryiovinelli4ccsdtrustee.ca/,21,8,1,static.cloudflareinsights.com/beacon.min.js&&,2,0
Myra D'Souza - http://myra4trustee.com/,66,6,16,siteassets.parastorage.com/pages/pages/thunderbolt&&frog.wix.com/bolt-performance&&frog.wix.com/bt&&static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js&&static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js&&static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js&&static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/8bf38806-3423-4080-b38f-d08542f7e4ac.woff2&&static.parastorage.com/services/third-party/fonts/Helvetica/Fonts/60be5c39-863e-40cb-9434-6ebafb62ab2b.woff&&frog.wix.com/bpm&&,6,0
Oksana Shevchenko - http://oksana.nationbuilder.com/,58,8,7,apis.google.com/js/plusone.js&&fonts.gstatic.com/s/opensanscondensed/v15/z7NFdQDnbTkabZAIOl9il_O6KJj73e7Ff0GmDuXMRw.woff2&&platform.twitter.com/widgets.js&&syndication.twitter.com/settings&&syndication.twitter.com/i/jot&&connect.facebook.net/en_US/sdk.js&&,0,1
Pamela Rath - http://pamelarath.com/,57,9,2,f.vimeocdn.com/js_opt/modules/utils/vuid.min.js&&,0,1
Pina Lamb - http://pinalamb.com/,91,4,24,frog.wix.com/bolt-performance&&frog.wix.com/bt&&static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js&&siteassets.parastorage.com/pages/pages/thunderbolt&&static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js&&static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/8bf38806-3423-4080-b38f-d08542f7e4ac.woff2&&static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js&&static.parastorage.com/services/third-party/fonts/Helvetica/Fonts/60be5c39-863e-40cb-9434-6ebafb62ab2b.woff&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/69b40392-453a-438a-a121-a49e5fbc9213.woff2&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/d513e15e-8f35-4129-ad05-481815e52625.woff2&&static.parastorage.com/services/wix-thunderbolt/dist/tpaWorkerFeature.e6f852f3.chunk.min.js&&frog.wix.com/site-members&&static.parastorage.com/services/wix-thunderbolt/dist/activePopup.b727980a.chunk.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/headerPlaceholderHeight.eed006f5.chunk.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.2f6d1ded.chunk.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/sosp.a216a77b.chunk.min.js&&static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js&&,6,0
Shannon Cook - http://shannoncook.ca/,35,2,3,img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js&&img1.wsimg.com/traffic-assets/js/tccl-tti.min.js&&img6.wsimg.com/wrhs/ce554d2333f3801abafb32da18213ff7/tti.min.js&&,0,0
